date;slp;holiday;weathercode;temperature_2m_max;temperature_2m_min;temperature_2m_mean;apparent_temperature_max;apparent_temperature_min;apparent_temperature_mean;sunrise;sunset;daylight_duration;sunshine_duration;rain_sum;snowfall_sum;precipitation_hours;windspeed_10m_max;windgusts_10m_max;shortwave_radiation_sum;et0_fao_evapotranspiration;day_of_week_sin;day_of_week_cos;day_of_year_sin;day_of_year_cos;winddirection_10m_dominant_sin;winddirection_10m_dominant_cos
2021-10-12;1128439,806;0;61;-0,33667284556751115;-0,303803799624596;-0,3450873396055909;-0,3844691731814129;-0,2985002465239408;-0,3598022960069587;0,3379570551798827;-0,6204249407943508;-0,4862557912757679;0,0523035128911701;0,5779638946791165;-0,16080926572537088;0,89518438896498;0,18690607809080131;0,23302763202140775;-0,37356500585711433;-0,5885686546714579;0,7818314824680298;0,6234898018587336;-0,9837979515735163;0,17928075881073555;-0,9510565162951536;0,30901699437494723
2021-10-13;1175150,53;0;51;-0,3842926725476691;-0,45307047181134985;-0,425489023477135;-0,40455694194743164;-0,4330576373273933;-0,41528357004796757;0,3596174587524884;-0,6522039140071623;-0,5075382653155525;0,4358840522558215;-0,32534256991727245;-0,16080926572537088;-0,1413265147998443;-0,72180756606631;-0,6609397072925188;-0,2081209102315618;-0,5514339984382544;0,9749279121818236;-0,22252093395631434;-0,980575394063143;0,19614254142819676;-0,9945218953682734;0,10452846326765299
2021-10-14;1061413,355;0;55;-0,12238362415680042;0,2186295530290422;-0,023480604119414425;-0,11328429484016117;0,19079935639770457;-0,01581839695270347;0,38127786232509403;-0,6733898961490365;-0,5286791131540024;-1,085202258655238;0,7285149721118479;-0,16080926572537088;1,5170909312238745;0,13907904418779535;0,038686906083597615;-1,041656048497705;-0,9537261076312922;0,43388373911755823;-0,900968867902419;-0,9770638564833509;0,21294651993841537;-0,9396926207859082;-0,3420201433256694
2021-10-15;1073019,366;0;53;-0,15809849439191895;-0,06497712412578999;-0,06368144605518658;-0,2840303293513196;-0,0905479152822415;-0,1267809450347213;0,39210806411139687;-0,6945758782909108;-0,5496926766849239;-1,0238927743888586;0,1865310933540147;-0,16080926572537088;0,4805800274590503;1,366639581031612;1,1036740842227972;-0,9317809620898954;-0,7556746077208736;-0,433883739117558;-0,9009688679024191;-0,9732643737003827;0,22968774213179508;-0,9205048534524403;-0,3907311284892738
2021-10-16;1114676,065;0;3;-0,3842926725476691;-0,24409713074989461;-0,35848762025084824;-0,33424975126636625;-0,2006403259396117;-0,29322476715774803;0,41376846768400255;-0,715761860432785;-0,5707456804238122;-0,8087801572881049;-0,47589364735000395;-0,16080926572537088;-0,7632330570587389;-0,8334039785066573;-0,8008650299677421;-0,9140999137024316;-0,8918350139092863;-0,9749279121818236;-0,2225209339563146;-0,9691780654392538;0,24636127429331414;-0,961261695938319;-0,2756373558169989
2021-10-17;1135228,62;0;51;-0,21762327811711635;-0,1694637946565177;-0,17088369121724525;-0,233810907436273;-0,15171036564744717;-0,1600697094593266;0,43542887125660823;-0,7369478425746593;-0,5918524662644731;-1,1428499306180888;-0,08446084602490204;-0,16080926572537088;0,6878822082120152;-0,3551336394765987;-0,5521089007673453;-0,8357981279865213;-0,7123508421154695;-0,7818314824680299;0,6234898018587334;-0,9648061359537647;0,262962202656514;-0,9335804264972016;-0,3583679495453007
2021-10-18;1019294,137;0;3;0,06809568376383122;0,23355622024771777;0,03012051846161503;0,07754950843701605;0,23972931668986916;0,06185538670470912;0,4570892748292139;-0,7581338247165336;-0,6129977959447376;-0,15439389353024613;-0,47589364735000395;-0,16080926572537088;-0,7632330570587389;-1,0087697694843454;-0,971884868793015;-0,4291340150748574;-0,5328666703216526;0,0;1,0;-0,9601498736716018;0,2794856348516095;-0,6427876096865393;-0,766044443118978
2021-10-19;931673,536;0;3;0,2466700349394234;0,05443621362361304;0,23112472814047533;0,2583394273311838;0,0929394358133755;0,22829920882773586;0,46791947661551675;-0,7899127979293449;-0,6341664312024364;-0,5441181856787841;-0,47589364735000395;-0,16080926572537088;-0,7632330570587389;0,18690607809080131;-0,1323329327416755;-0,5680565381192146;-0,4833537953440481;0,7818314824680298;0,6234898018587336;-0,9552106508146317;0,2959267013472893;-0,5000000000000001;-0,8660254037844386
2021-10-20;769932,01;0;63;0,5442939535654104;0,9201829123067853;0,6465334281434532;0,4190415774593331;0,7290289196115144;0,5168018338409821;0,4895798801881224;-0,8110987800712192;-0,6553413410386761;-0,3187714375607915;0,36719238627329237;-0,16080926572537088;0,06597566595312059;1,0159079990762359;1,329109326310657;-0,6880350807484321;-0,14914188924521674;0,9749279121818236;-0,22252093395631434;-0,9499899229945011;0,3122805568857945;-0,5735764363510458;-0,819152044288992
2021-10-21;951553,931;0;61;0,16333533772414716;-0,05005045690711453;0,15072304426893102;0,1880322366501186;-0,3596626968891465;-0,1600697094593266;0,511240283760728;-0,8322847622130934;-0,6765063908229234;-0,3265727407008179;2,0834746690064314;-0,16080926572537088;1,9316952927298043;4,060895824234275;3,2569693276137337;-0,7852808468794822;-0,1924656548506207;0,43388373911755823;-0,900968867902419;-0,9444892287836614;0,3285423819108344;-0,882947592858927;-0,46947156278589075
