datum;nkp;rlm;slp
2018-03-16 00:00:00,000;5322289,030177;2987602,328212775;2334686,70196423
2018-03-17 00:00:00,000;6469158,288019;3884445,599338255;2584712,68868075
2018-03-18 00:00:00,000;6342523,569088;3814309,01661411;2528214,55247389
2018-03-19 00:00:00,000;6486561,744831;4113871,78638002;2372689,95845098
2018-03-20 00:00:00,000;6552415,482305;4078169,6693148775;2474245,81299012
2018-03-21 00:00:00,000;5635577,117198;3533826,4220354725;2101750,69516253
2018-03-22 00:00:00,000;5829584,953108;3700505,4583602525;2129079,49474775
2018-03-23 00:00:00,000;5969111,108646;3983720,9524275625;1985390,15621844
2018-03-24 00:00:00,000;4993039,238971;3251418,7728104775;1741620,46616052
2018-03-25 00:00:00,000;4766414,492007;3196350,8699203375;1570063,62208666
2018-03-26 00:00:00,000;5190009,878942;3565288,730256715;1624721,14868529
2018-03-27 00:00:00,000;5016434,4517;3440831,25399167;1575603,19770833
2018-03-28 00:00:00,000;4269121,058244;2288783,0398477975;1980338,0183962
2018-03-29 00:00:00,000;3820124,48041;2023408,61623446;1796715,86417554
2018-03-30 00:00:00,000;3386980,516199;1837586,7578233025;1549393,7583757
2018-03-31 00:00:00,000;3968978,518596;2117014,7970150725;1851963,72158093
2018-04-01 00:00:00,000;4212828,282852;2219084,5125021525;1993743,77034985
2018-04-02 00:00:00,000;3633923,485629;1989309,98444544;1644613,50118356
2018-04-03 00:00:00,000;2788838,981586;1687888,0416660075;1100950,93991999
2018-04-04 00:00:00,000;2242314,076914;1439918,893188945;802395,183725055
2018-04-05 00:00:00,000;3691791,159093;2673392,500593135;1018398,65849987
2018-04-06 00:00:00,000;4254292,587861;3160758,7439104275;1093533,84395057
2018-04-07 00:00:00,000;3458948,184135;2618325,0447232275;840623,139411773
2018-04-08 00:00:00,000;3439547,028927;2719087,8956531775;720459,133273823
2018-04-09 00:00:00,000;3381063,100533;2752419,8298510225;628643,270681978
2018-04-10 00:00:00,000;2954706,695127;2421476,0000150625;533230,695111938
2018-04-11 00:00:00,000;2134566,015633;1518541,85598921;616024,15964379
2018-04-12 00:00:00,000;2819714,677893;2311788,0508157025;507926,627077298
2018-04-13 00:00:00,000;3050456,359338;2531365,073875845;519091,285462155
2018-04-14 00:00:00,000;3094975,01502;2502796,8828485925;592178,132171408
2018-04-15 00:00:00,000;2821813,693137;2299401,2009128725;522412,492224128
2018-04-16 00:00:00,000;3256215,788682;2609356,9233638925;646858,865318108
2018-04-17 00:00:00,000;3005560,072152;2460067,5235803075;545492,548571693
2018-04-18 00:00:00,000;2777929,439976;2330379,1870648875;447550,252911113
2018-04-19 00:00:00,000;2278464,190416;1895176,8055955925;383287,384820408
2018-04-20 00:00:00,000;2583742,472406;2260676,4085434825;323066,063862518
2018-04-21 00:00:00,000;2330254,328805;1998152,17661817;332102,15218683
2018-04-22 00:00:00,000;2259501,158682;1911060,223543305;348440,935138695
2018-04-23 00:00:00,000;2513627,947098;2152648,6355917575;360979,311506243
2018-04-24 00:00:00,000;2818687,257135;2343450,0572695575;475237,199865443
2018-04-25 00:00:00,000;2889858,102426;2357210,0069922375;532648,095433763
2018-04-26 00:00:00,000;2952835,428222;2247955,2949971375;704880,133224863
2018-04-27 00:00:00,000;3196273,061079;2581819,2202002525;614453,840878748
2018-04-28 00:00:00,000;2654543,632077;2193386,148912825;461157,483164175
2018-04-29 00:00:00,000;2374017,474573;2000428,2538504425;373589,220722558
2018-04-30 00:00:00,000;2385514,933038;2017209,052552995;368305,880485005
2018-05-01 00:00:00,000;1319319,151338;810524,313828554225;508794,837509446
2018-05-02 00:00:00,000;3030203,142358;2426540,343976795305;603662,798381205
2018-05-03 00:00:00,000;2475651,419776;1952667,78858567292;522983,631190327
2018-05-04 00:00:00,000;2792030,845242;2279044,0924234666;512986,752818533
2018-05-05 00:00:00,000;2629415,592246;2160068,026254415225;469347,565991585
2018-05-06 00:00:00,000;2323617,567716;1908759,350457257855;414858,217258742
2018-05-07 00:00:00,000;2591062,439354;2236601,74101191125;354460,698342089
2018-05-08 00:00:00,000;2528572,547918;2216003,73723959804;312568,810678402
2018-05-09 00:00:00,000;2138969,332588;1860616,433242502505;278352,899345497
2018-05-10 00:00:00,000;2434612,19531;2166534,006633776715;268078,188676223
2018-05-11 00:00:00,000;2480439,834294;2155420,29480490748;325019,539489093
2018-05-12 00:00:00,000;2472242,774386;2169549,31280731745;302693,461578683
2018-05-13 00:00:00,000;2426462,890428;2145597,85307546269;280865,037352537
2018-05-14 00:00:00,000;2459065,786264;2177887,026142880935;281178,760121119
2018-05-15 00:00:00,000;2624696,112338;2313039,963390861465;311656,148947139
2018-05-16 00:00:00,000;2384950,83848;2069570,25800911806;315380,580470882
2018-05-17 00:00:00,000;2195193,062366;1865705,807089138815;329487,255276861
2018-05-18 00:00:00,000;2647971,218738;2230399,489537172515;417571,729200827
2018-05-19 00:00:00,000;2271575,661542;1911498,09735223851;360077,564189761
2018-05-20 00:00:00,000;1051187,165982;727010,234718567195;324176,931263433
2018-05-21 00:00:00,000;1660573,482184;1356704,68485030324;303868,797333697
2018-05-22 00:00:00,000;2382538,35149;2097207,99216564114;285330,359324359
2018-05-23 00:00:00,000;2368598,146738;2087960,620366994515;280637,526371005
2018-05-24 00:00:00,000;2125036,84582;1861573,009482325545;263463,836337674
2018-05-25 00:00:00,000;2458645,515112;2208474,98625477949;250170,528857221
2018-05-26 00:00:00,000;2343597,857772;2104315,139864801855;239282,717907198
2018-05-27 00:00:00,000;2281829,799764;2033864,080980692905;247965,718783307
2018-05-28 00:00:00,000;2269258,617296;2038905,09889791317;230353,518398087
2018-05-29 00:00:00,000;2153774,007638;1932977,72921708475;220796,278420915
2018-05-30 00:00:00,000;1829809,76705;1614118,46983305423;215691,297216946
2018-05-31 00:00:00,000;1972831,627592;1762185,85478030738;210645,772811693
2018-06-01 00:00:00,000;2212283,014851;2001382,55850909586;210900,456341904
2018-06-02 00:00:00,000;2029235,901063;1818217,93312593518;211017,967937065
2018-06-03 00:00:00,000;1970126,238199;1738265,58707429866;231860,651124701
2018-06-04 00:00:00,000;2281276,52326;2057345,53774970878;223930,985510291
2018-06-05 00:00:00,000;1221241,684103;994638,85008380564;226602,834019194
2018-06-06 00:00:00,000;1916628,749553;1678726,30673384238;237902,442819158
2018-06-07 00:00:00,000;2270547,569052;2040257,74901214406;230289,820039856
2018-06-08 00:00:00,000;2212508,297965;2001509,57649602428;210998,721468976
2018-06-09 00:00:00,000;2067608,164748;1866644,27595098012;200963,88879702
2018-06-10 00:00:00,000;2165396,838094;1947805,6126916863;217591,225402314
2018-06-11 00:00:00,000;2478686,70756;2253406,73422693878;225279,973333061
2018-06-12 00:00:00,000;2478808,314717;2240448,46146618294;238359,853250817
2018-06-13 00:00:00,000;2524859,670837;2251468,10237419588;273391,568462804
2018-06-14 00:00:00,000;2176813,756411;1925144,44968268542;251669,306728315
2018-06-15 00:00:00,000;2308263,685301;2080155,40339228496;228108,281908715
2018-06-16 00:00:00,000;2290300,39966;2072343,83432755574;217956,565332444
2018-06-17 00:00:00,000;2376828,290613;2147332,78044352956;229495,51016947
2018-06-18 00:00:00,000;2332325,282406;2104342,29365115406;227982,988754846
2018-06-19 00:00:00,000;2308325,861737;2085766,53058241328;222559,331154587
2018-06-20 00:00:00,000;2154127,448725;1936462,1312097999;217665,3175152
2018-06-21 00:00:00,000;2016461,252325;1771063,69349691082;245397,558828089
2018-06-22 00:00:00,000;2499254,746555;2212923,4816834642;286331,264871536
2018-06-23 00:00:00,000;2214110,186449;1888386,58239409948;325723,604054901
2018-06-24 00:00:00,000;2394614,528068;2020031,52524459104;374583,002823409
2018-06-25 00:00:00,000;2284208,868431;1965828,26271362566;318380,605717374
2018-06-26 00:00:00,000;1953477,029343;1671071,74866301824;282405,280679982
2018-06-27 00:00:00,000;2119875,954112;1862391,9097320243;257484,044379976
2018-06-28 00:00:00,000;2003973,272182;1769436,7946354008;234536,477546599
2018-06-29 00:00:00,000;2358184,605588;2125474,90746975552;232709,698118244
2018-06-30 00:00:00,000;2171625,643866;1933718,5322864017;237907,111579598
2018-07-01 00:00:00,000;2409629,232234;2147480,38307694855;262148,849157051
2018-07-02 00:00:00,000;2431075,395912;2190691,448912200425;240383,9469998
2018-07-03 00:00:00,000;2479534,56333;2232512,490611999175;247022,072718001
2018-07-04 00:00:00,000;2420928,060249;2198039,47002631665;222888,590222683
2018-07-05 00:00:00,000;1959409,295172;1751290,2332274276;208119,061944572
2018-07-06 00:00:00,000;2353921,650633;2127650,717158109475;226270,933474891
2018-07-07 00:00:00,000;1342552,230888;1124838,07163563125;217714,159252369
2018-07-08 00:00:00,000;1061292,158889;840997,956267342525;220294,202621657
2018-07-09 00:00:00,000;1926527,467296;1699365,323742143775;227162,143553856
2018-07-10 00:00:00,000;2091525,274836;1856979,7018640136;234545,572971986
2018-07-11 00:00:00,000;1853211,932643;1620143,915571743925;233068,017071256
2018-07-12 00:00:00,000;1872398,813049;1638229,294560882825;234169,518488117
2018-07-13 00:00:00,000;2395322,879745;2168907,480167052675;226415,399577947
2018-07-14 00:00:00,000;2223150,421014;2002607,616011808075;220542,805002192
2018-07-15 00:00:00,000;1892415,504681;1666068,84519283935;226346,659488161
2018-07-16 00:00:00,000;2132051,566731;1916862,6382452303;215188,92848577
2018-07-17 00:00:00,000;2136233,45502;1929670,700417636175;206562,754602364
2018-07-18 00:00:00,000;2280995,188842;2064359,925224587125;216635,263617413
2018-07-19 00:00:00,000;1708701,437187;1494487,768220251725;214213,668966748
2018-07-20 00:00:00,000;2193216,656295;1985985,9218959503;207230,73439905
2018-07-21 00:00:00,000;2337388,409568;2136639,1643217084;200749,245246292
2018-07-22 00:00:00,000;2007470,438562;1798749,65483015475;208720,783731845
2018-07-23 00:00:00,000;2311433,471787;2099154,290187067125;212279,181599933
2018-07-24 00:00:00,000;2245059,196206;2044245,03543646935;200814,160769531
2018-07-25 00:00:00,000;2063693,979729;1868483,6578220511;195210,321906949
2018-07-26 00:00:00,000;1857786,191592;1668706,493734275225;189079,697857725
2018-07-27 00:00:00,000;2109541,436952;1915942,222358205225;193599,214593795
2018-07-28 00:00:00,000;1870445,731443;1680716,675449413;189729,055993587
2018-07-29 00:00:00,000;523937,253438;346736,003596997925;177201,249841002
2018-07-30 00:00:00,000;610138,036416;420707,2338770076;189430,802538992
2018-07-31 00:00:00,000;626838,567819;455429,3030927811;171409,264726219
2018-08-01 00:00:00,000;586402,904908;408532,3397391588;177870,565168841
2018-08-02 00:00:00,000;611445,731753;425459,8484759379;185985,883277062
2018-08-03 00:00:00,000;620095,826121;442918,74171629865;177177,084404701
2018-08-04 00:00:00,000;510382,629613;337964,2850252791;172418,344587721
2018-08-05 00:00:00,000;595883,058723;407133,29248000895;188749,766242991
2018-08-06 00:00:00,000;615825,982067;429385,77547378184;186440,206593218
2018-08-07 00:00:00,000;667957,041018;493787,89306645274;174169,147951547
2018-08-08 00:00:00,000;619448,341751;449151,46642303895;170296,875327961
2018-08-09 00:00:00,000;651799,028652;475873,12152894456;175925,907123055
2018-08-10 00:00:00,000;594223,962942;405223,88941457064;189000,073527429
2018-08-11 00:00:00,000;580679,430898;381461,63327788623;199217,797620114
2018-08-12 00:00:00,000;591949,593986;386402,11900646304;205547,474979537
2018-08-13 00:00:00,000;768233,29056;476457,2148886976;291776,075671302
2018-08-14 00:00:00,000;656515,242292;452361,39523896655;204153,847053033
2018-08-15 00:00:00,000;695237,236106;487872,14054584139;207365,095560159
2018-08-16 00:00:00,000;699333,645642;500068,08723407486;199265,558407925
2018-08-17 00:00:00,000;817516,160321;630773,35197750623;186742,808343494
2018-08-18 00:00:00,000;650883,331274;465999,56096584698;184883,770308153
2018-08-19 00:00:00,000;898389,038089;703135,04484950713;195253,993239493
2018-08-20 00:00:00,000;2278595,1997;2061147,47046465047;217447,72923535
2018-08-21 00:00:00,000;2365750,317335;2132025,46832403246;233724,849010968
2018-08-22 00:00:00,000;2323079,647005;2065826,48479023912;257253,162214761
2018-08-23 00:00:00,000;2042412,531802;1814196,9123109888;228215,619491011
2018-08-24 00:00:00,000;2256640,09416;2034403,05355952261;222237,040600477
2018-08-25 00:00:00,000;2091655,70253;1841686,9700599764;249968,732470024
2018-08-26 00:00:00,000;2267825,136495;2004783,37995898411;263041,756536016
2018-08-27 00:00:00,000;2468158,397079;2176446,34440799897;291712,052671001
2018-08-28 00:00:00,000;2227817,022182;1925931,97382432852;301885,048357671
2018-08-29 00:00:00,000;1508256,589932;1236411,84126407837;271844,748667922
2018-08-30 00:00:00,000;1996742,948624;1705941,06252693081;290801,886097069
2018-08-31 00:00:00,000;2390207,507553;2096018,41159927278;294189,095953727
2018-09-01 00:00:00,000;2279620,928614;2011138,78837879655;268482,140235203
2018-09-02 00:00:00,000;2061382,976042;1784235,2792280116;277147,696813988
2018-09-03 00:00:00,000;1571882,579664;1344728,43558352955;227154,14408047
2018-09-04 00:00:00,000;2339282,096326;2104859,91168163945;234422,184644361
2018-09-05 00:00:00,000;2378396,70493;2138092,0587219114;240304,646208089
2018-09-06 00:00:00,000;2103862,661942;1871900,5661443709;231962,095797629
2018-09-07 00:00:00,000;2332547,09988;2094886,7032373596;237660,39664264
2018-09-08 00:00:00,000;2457581,18286;2199320,86106436405;258260,321795636
2018-09-09 00:00:00,000;2438160,776082;2178829,00501895895;259331,771063041
2018-09-10 00:00:00,000;2432402,553468;2180585,4501417921;251817,103326208
2018-09-11 00:00:00,000;2411977,332794;2177935,33245628235;234042,000337718
2018-09-12 00:00:00,000;2369562,669286;2135963,0349651663;233599,634320834
2018-09-13 00:00:00,000;2079770,888348;1795133,0103860514;284637,877961949
2018-09-14 00:00:00,000;2448513,09806;2173820,59952643395;274692,498533566
2018-09-15 00:00:00,000;2128467,402444;1846509,65136752355;281957,751076476
2018-09-16 00:00:00,000;2173232,960196;1868804,2095187921;304428,750677208
2018-09-17 00:00:00,000;2349602,8957;2062850,98214173275;286751,913558267
2018-09-18 00:00:00,000;2421503,02335;2165004,92650812935;256498,096841871
2018-09-19 00:00:00,000;2332890,781642;2099795,592679028;233095,188962972
2018-09-20 00:00:00,000;1986866,000432;1757467,86839529485;229398,132036705
2018-09-21 00:00:00,000;2576019,806908;2321534,96611209655;254484,840795903
2018-09-22 00:00:00,000;2412392,159478;2095978,9493220056;316413,210155994
2018-09-23 00:00:00,000;2535862,683104;2069731,81724109875;466130,865862901
2018-09-24 00:00:00,000;3074702,066038;2482161,2476484562;592540,818389544
2018-09-25 00:00:00,000;3266352,904;2563829,45856713255;702523,445432867
2018-09-26 00:00:00,000;3130422,90825;2474835,0300810365;655587,878168964
2018-09-27 00:00:00,000;2452755,078928;1991057,6402603035;461697,438667697
2018-09-28 00:00:00,000;3134395,048438;2542940,33128535695;591454,717152643
2018-09-29 00:00:00,000;3116658,50592;2405140,13441990445;711518,371500096
2018-09-30 00:00:00,000;3264543,600896;2520950,3081357764;743593,292760224
2018-10-01 00:00:00,000;3634118,775;2734099,67085609375;900019,104143906
2018-10-02 00:00:00,000;3796180,52625;2732711,895365625;1063468,63088438
2018-10-03 00:00:00,000;2869255,29375;1904172,4662946875;965082,827455313
2018-10-04 00:00:00,000;3214864,27125;2308281,48406546875;906582,787184531
2018-10-05 00:00:00,000;3135899,86875;2445524,880463125;690374,988286875
2018-10-06 00:00:00,000;2938947,91875;2356696,03423078125;582251,884519219
2018-10-07 00:00:00,000;3351346,75125;2518060,36495359375;833286,386296406
2018-10-08 00:00:00,000;3667591,00125;2728457,28153140625;939133,719718594
2018-10-09 00:00:00,000;3335027,81625;2484688,7721825;850339,0440675
2018-10-10 00:00:00,000;2982110,6925;2333434,0728740625;648676,619625938
2018-10-11 00:00:00,000;2465298,48375;1925933,0255803125;539365,458169688
2018-10-12 00:00:00,000;2918296,4175;2430593,45856;487702,95894
2018-10-13 00:00:00,000;2511022,545;2065667,7224446875;445354,822555313
2018-10-14 00:00:00,000;2470666,06125;1986660,455619375;484005,605630625
2018-10-15 00:00:00,000;2759489,76375;2260340,66084203125;499149,102907969
2018-10-16 00:00:00,000;2922943,21875;2392760,46971390625;530182,749036094
2018-10-17 00:00:00,000;2933863,00875;2336486,82200015625;597376,186749844
2018-10-18 00:00:00,000;3125439,05625;2333953,59388171875;791485,462368281
2018-10-19 00:00:00,000;3790018,1475;2914516,61061046875;875501,536889531
2018-10-20 00:00:00,000;3915986,4225;2957452,3552415625;958534,067258438
2018-10-21 00:00:00,000;3595460,50125;2643465,70776796875;951994,793482031
2018-10-22 00:00:00,000;4017303,81;2902295,55695765625;1115008,25304234
2018-10-23 00:00:00,000;4114322,13375;2928207,94767703125;1186114,18607297
2018-10-24 00:00:00,000;3950850,76875;2895003,8451;1055846,92365
2018-10-25 00:00:00,000;3522060,045;2494715,9173875;1027344,1276125
2018-10-26 00:00:00,000;3789783,225;2747936,71035;1041846,51465
2018-10-27 00:00:00,000;4009058,33625;2734317,5198625;1274740,8163875
2018-10-28 00:00:00,000;4157816,4;2754131,38965;1403685,01035
2018-10-29 00:00:00,000;4914277,68375;3367138,4461125;1547139,2376375
2018-10-30 00:00:00,000;4029257,3175;2895444,60075;1133812,71675
2018-10-31 00:00:00,000;4120744,545;2917216,8763875;1203527,6686125
2018-11-01 00:00:00,000;4084169,621448;2748928,34327832;1335241,27816968
2018-11-02 00:00:00,000;3882867,28368;2686323,0721236;1196544,2115564
2018-11-03 00:00:00,000;4189634,019144;2855261,75313792;1334372,26600608
2018-11-04 00:00:00,000;3886774,061184;2643733,12235424;1243040,93882976
2018-11-05 00:00:00,000;3793091,11608;2689834,32808272;1103256,78799728
2018-11-06 00:00:00,000;3501710,094456;2485494,61837152;1016215,47608448
2018-11-07 00:00:00,000;3980989,538904;2883343,28407104;1097646,25483296
2018-11-08 00:00:00,000;3959667,016704;2781951,67468344;1177715,34202056
2018-11-09 00:00:00,000;4142867,387736;2958772,67957544;1184094,70816056
2018-11-10 00:00:00,000;3726247,720272;2599023,62850144;1127224,09177056
2018-11-11 00:00:00,000;3644980,435824;2541307,22242656;1103673,21339744
2018-11-12 00:00:00,000;3713809,209936;2678053,98578256;1035755,22415344
2018-11-13 00:00:00,000;3923364,638256;2818359,78670512;1105004,85155088
2018-11-14 00:00:00,000;4238117,39316;3001567,57116384;1236549,82199616
2018-11-15 00:00:00,000;4421574,558576;2965890,87886224;1455683,67971376
2018-11-16 00:00:00,000;4869214,996632;3308592,58308936;1560622,41354264
2018-11-17 00:00:00,000;4918360,1334;3112883,70257088;1805476,43082912
2018-11-18 00:00:00,000;5421666,77052;3513463,53243984;1908203,23808016
2018-11-19 00:00:00,000;5703216,858024;3791194,96307496;1912021,89494904
2018-11-20 00:00:00,000;5948001,540264;3878405,27099592;2069596,26926808
2018-11-21 00:00:00,000;6198319,998528;4078282,7497692;2120037,2487588
2018-11-22 00:00:00,000;5752460,29344;3614205,09623376;2138255,19720624
2018-11-23 00:00:00,000;5888168,37;3822435,31661544;2065733,05338456
2018-11-24 00:00:00,000;5521767,661704;3505912,19867112;2015855,46303288
2018-11-25 00:00:00,000;5229343,175112;3355518,6674436;1873824,5076684
2018-11-26 00:00:00,000;6036969,605856;3985703,38939248;2051266,21646352
2018-11-27 00:00:00,000;6120249,001608;3927408,01553688;2192840,98607112
2018-11-28 00:00:00,000;6219376,721544;3986572,8283836;2232803,8931604
2018-11-29 00:00:00,000;5926710,15216;3703485,67397256;2223224,47818744
2018-11-30 00:00:00,000;5953166,25456;3801911,13341928;2151255,12114072
2018-12-01 00:00:00,000;5081371,543864;3258485,23778664;1822886,30607736
2018-12-02 00:00:00,000;4718656,069666;3106265,50963076;1612390,56003524
2018-12-03 00:00:00,000;4682522,865174;3291393,92460072;1391128,94057328
2018-12-04 00:00:00,000;5322959,538204;3660176,5998494;1662782,9383546
2018-12-05 00:00:00,000;5692784,925366;3793135,53126856;1899649,39409744
2018-12-06 00:00:00,000;4619421,44048;2899700,715281;1719720,725199
2018-12-07 00:00:00,000;4630231,444146;3231462,08852082;1398769,35562518
2018-12-08 00:00:00,000;4737195,532916;3195692,431085;1541503,101831
2018-12-09 00:00:00,000;4812555,875204;3214634,73667798;1597921,13852602
2018-12-10 00:00:00,000;5528569,939816;3681087,18945044;1847482,75036556
2018-12-11 00:00:00,000;5612507,647054;3701802,40734612;1910705,23970788
2018-12-12 00:00:00,000;5730574,020248;3732631,7266238;1997942,2936242
2018-12-13 00:00:00,000;5751964,364762;3680412,66439154;2071551,70037046
2018-12-14 00:00:00,000;6344753,338462;4165694,08709608;2179059,25136592
2018-12-15 00:00:00,000;6000304,056978;3772167,42876512;2228136,62821288
2018-12-16 00:00:00,000;5882390,811066;3583260,55668504;2299130,25438096
2018-12-17 00:00:00,000;6172902,303106;4017264,20318454;2155638,09992146
2018-12-18 00:00:00,000;6023162,719112;3946297,28013906;2076865,43897294
2018-12-19 00:00:00,000;6184494,73873;4076357,0761225;2108137,6626075
2018-12-20 00:00:00,000;5053394,196774;3137440,7354679;1915953,4613061
2018-12-21 00:00:00,000;4929088,243772;3244118,95692848;1684969,28684352
2018-12-22 00:00:00,000;4982099,950982;3350892,21994336;1631207,73103864
2018-12-23 00:00:00,000;4867252,207356;3223718,40238796;1643533,80496804
2018-12-24 00:00:00,000;3718236,268054;1811540,98182174;1906695,28623226
2018-12-25 00:00:00,000;3692531,626168;1894196,17258296;1798335,45358504
2018-12-26 00:00:00,000;3662324,034908;1903358,6574391;1758965,3774689
2018-12-27 00:00:00,000;3635163,081858;1856186,68739698;1778976,39446102
2018-12-28 00:00:00,000;3704417,871462;2020188,3909596;1684229,4805024
2018-12-29 00:00:00,000;3665138,469608;2009192,89800346;1655945,57160454
2018-12-30 00:00:00,000;3700141,819374;1984949,19876062;1715192,62061338
2018-12-31 00:00:00,000;3687847,837982;2045851,53423922;1641996,30374278
2019-01-01 00:00:00,000;3921013,659427;2195032,83011549;1725980,82931151
2019-01-02 00:00:00,000;6394987,979081;4241539,60252318;2153448,37655782
2019-01-03 00:00:00,000;6075805,170962;3730263,83881603;2345541,33214597
2019-01-04 00:00:00,000;6133303,348334;3992195,85526999;2141107,49306401
2019-01-05 00:00:00,000;5408059,227603;3569657,68417805;1838401,54342495
2019-01-06 00:00:00,000;5642328,699647;3655807,93575757;1986520,76388943
2019-01-07 00:00:00,000;5688550,832163;3779862,70739884;1908688,12476416
2019-01-08 00:00:00,000;5936177,340944;3968544,23964084;1967633,10130316
2019-01-09 00:00:00,000;6084094,271254;3881713,45135922;2202380,81989478
2019-01-10 00:00:00,000;6015759,933306;3762457,2179322;2253302,7153738
2019-01-11 00:00:00,000;5801705,188334;3714248,54116085;2087456,64717315
2019-01-12 00:00:00,000;5302964,189476;3409984,53196105;1892979,65751495
2019-01-13 00:00:00,000;5232126,307886;3401085,88797627;1831040,41990973
2019-01-14 00:00:00,000;6062911,55164;3921996,65869535;2140914,89294465
2019-01-15 00:00:00,000;5667675,672089;3627623,66028437;2040052,01180463
2019-01-16 00:00:00,000;5266479,94466;3389513,49411427;1876966,45054573
2019-01-17 00:00:00,000;5432908,387184;3501234,9284788;1931673,4587052
2019-01-18 00:00:00,000;6087042,068813;3984490,13476717;2102551,93404583
2019-01-19 00:00:00,000;6086798,908062;3813890,55223821;2272908,35582379
2019-01-20 00:00:00,000;6717507,695879;4277189,04144527;2440318,65443373
2019-01-21 00:00:00,000;7033426,025703;4484812,35192502;2548613,67377798
2019-01-22 00:00:00,000;6943983,319368;4356120,03713239;2587863,28223561
2019-01-23 00:00:00,000;7299896,172809;4437950,9579161;2861945,2148929
2019-01-24 00:00:00,000;7021303,765258;4197672,69210621;2823631,07315179
2019-01-25 00:00:00,000;7093759,041586;4374671,9147949;2719087,1267911
2019-01-26 00:00:00,000;6258677,119167;3957786,165489;2300890,953678
2019-01-27 00:00:00,000;5683820,885455;3608090,82764718;2075730,05780782
2019-01-28 00:00:00,000;5809984,594547;3709541,2295095;2100443,3650375
2019-01-29 00:00:00,000;6049094,377524;3798927,28344463;2250167,09407937
2019-01-30 00:00:00,000;6185471,388575;3880438,30478852;2305033,08378648
2019-01-31 00:00:00,000;6006978,456925;3745484,10460836;2261494,35231664
2019-02-01 00:00:00,000;6464645,179377;4118690,68298142;2345954,49639558
2019-02-02 00:00:00,000;6170636,700368;3905211,75056243;2265424,94980557
2019-02-03 00:00:00,000;6090852,012847;3768019,80584687;2322832,20700013
2019-02-04 00:00:00,000;6216963,418001;4038055,41695444;2178908,00104656
2019-02-05 00:00:00,000;6123854,993627;3971110,45035901;2152744,54326799
2019-02-06 00:00:00,000;6045770,915982;4012559,47795122;2033211,43803078
2019-02-07 00:00:00,000;5478006,785748;3442017,67781312;2035989,10793488
2019-02-08 00:00:00,000;5425466,293492;3612625,47001699;1812840,82347501
2019-02-09 00:00:00,000;5156181,144772;3505214,21774195;1650966,92703005
2019-02-10 00:00:00,000;5160198,46475;3390982,9100028;1769215,5547472
2019-02-11 00:00:00,000;5754666,858171;3814205,73628591;1940461,12188509
2019-02-12 00:00:00,000;5786005,30459;3841156,76519673;1944848,53939327
2019-02-13 00:00:00,000;5112879,810717;3326425,9756441;1786453,8350729
2019-02-14 00:00:00,000;4947794,753125;3316802,4420881;1630992,3110369
2019-02-15 00:00:00,000;5054945,956032;3453238,97707719;1601706,97895481
2019-02-16 00:00:00,000;4708300,933007;3212451,53219214;1495849,40081486
2019-02-17 00:00:00,000;4658921,362788;3101667,20097437;1557254,16181363
2019-02-18 00:00:00,000;4800422,717293;3312548,26048972;1487874,45680328
2019-02-19 00:00:00,000;4940022,718232;3386661,37603507;1553361,34219693
2019-02-20 00:00:00,000;4962401,622549;3475204,38249474;1487197,24005426
2019-02-21 00:00:00,000;4513278,258636;3086092,76390828;1427185,49472772
2019-02-22 00:00:00,000;5375421,374078;3645273,20841208;1730148,16566592
2019-02-23 00:00:00,000;5508714,006033;3601964,17316036;1906749,83287264
2019-02-24 00:00:00,000;4997574,520309;3223994,65781533;1773579,86249367
2019-02-25 00:00:00,000;4930671,585672;3338409,47816467;1592262,10750733
2019-02-26 00:00:00,000;4803960,474173;3303667,45547146;1500293,01870154
2019-02-27 00:00:00,000;4305908,657904;2955589,36599556;1350319,29190844
2019-02-28 00:00:00,000;3762029,626817;2412563,21495385;1349466,41186315
2019-03-01 00:00:00,000;4595426,4159479;3001571,87782855;1593854,53811935
2019-03-02 00:00:00,000;4366789,9565173;2714566,71841667;1652223,23810063
2019-03-03 00:00:00,000;3718361,3825306;2293696,25478448;1424665,12774612
2019-03-04 00:00:00,000;4155169,8973863;2768423,24418816;1386746,65319814
2019-03-05 00:00:00,000;4535409,9782953;2964553,83382574;1570856,14446956
2019-03-06 00:00:00,000;4037709,4557605;2634567,54803164;1403141,90772886
2019-03-07 00:00:00,000;3726001,2332023;2446220,74625539;1279780,48694691
2019-03-08 00:00:00,000;4325982,4113116;2923033,1252863;1402949,2860253
2019-03-09 00:00:00,000;3972773,0232632;2552361,40726762;1420411,61599558
2019-03-10 00:00:00,000;4478334,6643191;2804434,96475831;1673899,69956079
2019-03-11 00:00:00,000;5099384,2291522;3237834,70336599;1861549,52578621
2019-03-12 00:00:00,000;4205687,3333917;2594123,61252317;1611563,72086853
2019-03-13 00:00:00,000;4362256,2262331;2806172,59971568;1556083,62651742
2019-03-14 00:00:00,000;4188391,6170148;2538624,86995026;1649766,74706454
2019-03-15 00:00:00,000;4207042,6244925;2693248,9599119;1513793,6645806
2019-03-16 00:00:00,000;4000105,1616786;2487136,62403232;1512968,53764628
2019-03-17 00:00:00,000;4047552,5935013;2556795,83436836;1490756,75913294
2019-03-18 00:00:00,000;4716753,5128493;3064338,51073766;1652415,00211164
2019-03-19 00:00:00,000;4281116,8707853;2632186,89665022;1648929,97413508
