datum;nkp;rlm;slp
2016-03-13 00:00:00,000;5286355,419908;3272584,1476932;2013771,2722148
2016-03-14 00:00:00,000;4733805,87777;3015358,55566145;1718447,32210855
2016-03-15 00:00:00,000;3421520,4051645;1545688,7441534;1875831,6610111
2016-03-16 00:00:00,000;3350320,9231875;1647371,3287066;1702949,5944809
2016-03-17 00:00:00,000;3217422,3580625;1709231,58906345;1508190,76899905
2016-03-18 00:00:00,000;4773739,707454;3136577,8563169;1637161,8511371
2016-03-19 00:00:00,000;4429300,5923935;2891710,12694965;1537590,46544385
2016-03-20 00:00:00,000;4708221,3481255;3052816,14104855;1655405,20707695
2016-03-21 00:00:00,000;4621072,8828195;3034823,6651113;1586249,2177082
2016-03-22 00:00:00,000;2972225,5461335;1330285,3720839;1641940,1740496
2016-03-23 00:00:00,000;3317330,03347;1654747,4466592;1662582,5868108
2016-03-24 00:00:00,000;3170969,1850655;1634693,504615;1536275,6804505
2016-03-25 00:00:00,000;4323234,5532885;2859027,66470335;1464206,88858515
2016-03-26 00:00:00,000;3525664,4803855;2411475,70085615;1114188,77952935
2016-03-27 00:00:00,000;2345659,7688285;970408,3091237;1375251,4597048
2016-03-28 00:00:00,000;2294907,702215;965813,6116671;1329094,0905479
2016-03-29 00:00:00,000;2629979,2479975;1335525,7988366;1294453,4491609
2016-03-30 00:00:00,000;2899536,8365635;1586396,575744551547;1313140,26081895
2016-03-31 00:00:00,000;3021025,8595675;1732558,86603445;1288466,99353305
2016-04-01 00:00:00,000;3912856,4469227;2762277,21812371;1150579,22879899
2016-04-02 00:00:00,000;3561811,0382917;2524146,14205041;1037664,89624129
2016-04-03 00:00:00,000;3048826,9505389;2214713,25897892;834113,69155998
2016-04-04 00:00:00,000;3022150,0073082;2347344,94406353;674805,06324467
2016-04-05 00:00:00,000;1419537,3617018;748865,3509657;670672,0107361
2016-04-06 00:00:00,000;1779785,6335178;1058646,5395955;721139,0939223
2016-04-07 00:00:00,000;2069482,4415083;1172354,63338979;897127,80811851
2016-04-08 00:00:00,000;3467088,0057859;2518246,00748236;948841,99830354
2016-04-09 00:00:00,000;3257352,5736332;2342071,12447018;915281,44916302
2016-04-10 00:00:00,000;3154954,6904178;2145920,91398377;1009033,77643403
2016-04-11 00:00:00,000;2097036,0223683;939041,97487794;1157994,04749036
2016-04-12 00:00:00,000;1922535,8223989;979086,20920802;943449,61319088
2016-04-13 00:00:00,000;1820142,9768265;1047871,9161733;772271,0606532
2016-04-14 00:00:00,000;2277170,4662315;1318824,55267422;958345,91355728
2016-04-15 00:00:00,000;3460516,6201197;2475024,77199349;985491,84812621
2016-04-16 00:00:00,000;3284363,9271537;2383035,44581943;901328,48133427
2016-04-17 00:00:00,000;3757065,9261851;2737615,05525551;1019450,87092959
2016-04-18 00:00:00,000;3648289,0298417;2644744,40584227;1003544,62399943
2016-04-19 00:00:00,000;2133278,3277225;1163947,91262533;969330,41509717
2016-04-20 00:00:00,000;2218743,3759773;1222965,96227925;995777,41369805
2016-04-21 00:00:00,000;3224194,1395373;2329238,87341635;894955,26612095
2016-04-22 00:00:00,000;3260428,1172546;2373877,94654085;886550,17071375
2016-04-23 00:00:00,000;3636121,3143481;2615076,40655564;1021044,90779246
2016-04-24 00:00:00,000;3977719,1899481;2705547,86762094;1272171,32232716
2016-04-25 00:00:00,000;3799595,8825593;2568095,1717072;1231500,7108521
2016-04-26 00:00:00,000;3819974,4633041;2550712,87742256;1269261,58588154
2016-04-27 00:00:00,000;2993831,1118444;1653117,39832412;1340713,71352028
2016-04-28 00:00:00,000;3742768,8173486;2398122,16944775;1344646,64790085
2016-04-29 00:00:00,000;3590703,0019927;2518506,27435501;1072196,72763769
2016-04-30 00:00:00,000;2881727,5995239;1987616,63647759;894110,96304631
2016-05-01 00:00:00,000;1698314,6007354;943772,19066395;754542,41007145
2016-05-02 00:00:00,000;3193495,3658018;2568590,00070855;624905,36509325
