date;slp;day_of_year;apparent_temperature_mean;temperature_2m_mean;apparent_temperature_max;temperature_2m_max;sunrise
2022-11-11;920288,784;1,2965665688645962;-0,19335847388393193;-0,2110845331530174;-0,13337206360617976;-0,1819084078819978;0,9227879516402357
2022-11-12;1028640,188;1,3061467852292887;-0,5040536085135818;-0,6264932331559953;-0,19363536990423585;-0,36048275905759003;0,9444483552128414
2022-11-13;1121945,737;1,3157270015939813;-0,5151498633217837;-0,5594918299297085;-0,5049957857775249;-0,5747719804683007;0,9552785569991442
2022-11-14;1138749,678;1,3253072179586738;-0,5151498633217837;-0,5460915492844512;-0,444732479479469;-0,49143728325302427;0,9769389605717499
2022-11-15;1084138,576;1,3348874343233663;-0,2599360027331426;-0,3450873396055909;-0,06306487292511455;-0,19381336462703724;0,9985993641443556
2022-11-16;1284794,344;1,3444676506880588;-0,748171214294021;-0,7202951976727968;-0,9067511610978979;-0,9081107693294062;1,0202597677169611
2022-11-17;1498318,446;1,3540478670527516;-1,0810588585400744;-0,9346996879969145;-1,248243230120215;-1,134304947485156;1,031089969503264
2022-11-18;1881001,448;1,3636280834174441;-1,5471015604845493;-1,5779131589692672;-1,5194281084614667;-1,527168520071459;1,0527503730758698
2022-11-19;1937284,377;1,3732082997821367;-1,6469678537583654;-1,752116807357613;-1,5395158772274855;-1,5628833903065775;1,0744107766484754
2022-11-20;1995689,545;1,3827885161468292;-1,6358715989501635;-1,7387165267123557;-1,559603645993504;-1,6224081740317748;1,096071180221081
2022-11-21;2024903,158;1,3923687325115217;-1,5471015604845493;-1,685115404131326;-1,4892964553124388;-1,6105032172867353;1,1069013820073839
2022-11-22;1999329,062;1,4019489488762142;-1,4250427575943296;-1,4707109138072085;-1,3486820739503083;-1,4200239093661038;1,1285617855799897
2022-11-23;1832374,899;1,4115291652409068;-1,014481329690864;-1,10890333638526;-0,7761806641187766;-0,8843008558393272;1,1393919873662923
2022-11-24;1805153,81;1,4211093816055993;-1,0699626037318728;-1,2027053009020616;-0,8264000860338232;-1,0390652935248403;1,1610523909388981
2022-11-25;1541144,584;1,4306895979702918;-0,8036524883350299;-0,9346996879969145;-0,695829589054702;-0,8723958990942877;1,1827127945115037
2022-11-26;1422970,485;1,4402698143349844;-0,5595348825545907;-0,6666940750917675;-0,7661367797357673;-0,9319206828194851;1,1935429962978066
2022-11-27;1534175,223;1,4498500306996769;-0,903518781608846;-0,9883008105779438;-0,8464878547998418;-0,955730596309564;1,2152033998704121
2022-11-28;1642517,488;1,4594302470643694;-0,9368075460334513;-0,921299407351657;-1,1076288487580843;-1,1223999907401168;1,236863803443018
2022-11-29;1644215,724;1,469010463429062;-0,8591337623760389;-0,961500249287429;-1,0373216580770193;-1,158114860975235;1,2476940052293208
2022-11-30;1692187,654;1,4785906797937547;-1,003385074882662;-1,0821027750947454;-1,1176727331410936;-1,181924774465314;1,2693544088019264
2022-12-01;1904835,805;1,4881708961584472;-1,3140802095123119;-1,4037095105809219;-1,529471992844476;-1,646218087521854;1,2801846105882293
2022-12-02;2008567,532;1,4977511125231397;-1,358465228745119;-1,4037095105809219;-1,5495597616104946;-1,574788347051617;1,291014812374532
2022-12-03;2069755,37;1,5073313288878323;-1,569294070100953;-1,6181140009050394;-1,710261911738644;-1,8128874819524066;1,3126752159471378
2022-12-04;2014633,566;1,5169115452525248;-1,3362727191287156;-1,3903092299356645;-1,4792525709294293;-1,550978433561538;1,3235054177334407
2022-12-05;1883820,697;1,5264917616172173;-1,1587326421974868;-1,3099075460641203;-1,3486820739503083;-1,5628833903065775;1,3451658213060462
2022-12-06;1895593,343;1,5360719779819099;-1,1143476229646798;-1,2161055815473187;-1,2984626520352616;-1,4200239093661038;1,3559960230923491
2022-12-07;1906488,358;1,5456521943466024;-1,2142139162384957;-1,229505862192576;-1,3386381895672987;-1,3366892121508274;1,366826224878652
2022-12-08;1984092,075;1,555232410711295;-1,247502680663101;-1,336708107354635;-1,3185504208012802;-1,3843090391309854;1,3776564266649547
2022-12-09;2097245,23;1,5648126270759875;-1,413946502786128;-1,5913134396145248;-1,5495597616104946;-1,7890775684623277;1,3884866284512576
2022-12-10;2184263,977;1,57439284344068;-1,658064108566567;-1,7923176492933848;-1,720305796121653;-1,8605073089325643;1,3993168302375605
2022-12-11;2282987,885;1,5839730598053725;-1,713545382607576;-1,832518491229157;-1,8609201774837838;-1,9795568763829594;1,4101470320238632
2022-12-12;2345026,464;1,593553276170065;-1,6802566181829708;-1,7387165267123557;-1,8006568711857276;-1,8605073089325643;1,420977233810166
2022-12-13;2490207,998;1,6031334925347578;-1,8688929499224007;-2,0335227009080175;-1,740393564887672;-1,9081271359127223;1,431807435596469
2022-12-14;2841434,161;1,6127137088994503;-2,168491829743849;-2,3551294363941935;-1,961359021313877;-2,0986064438333543;1,4426376373827718
2022-12-15;2846941,164;1,6222939252641428;-2,1573955749356473;-2,3551294363941935;-1,7604813336536906;-1,896222179167683;1,4534678391690745
2022-12-16;2761000,695;1,6318741416288354;-1,9576629883880154;-2,1809257880058484;-1,8709640618667929;-2,050986616853196;1,4642980409553774
2022-12-17;2623098,628;1,641454357993528;-1,8023154210731902;-2,02012242026276;-1,710261911738644;-1,943842006147841;1,4751282427416803
2022-12-18;2699738,919;1,6510345743582204;-2,0908180460864365;-2,22112662994162;-2,0316662119949425;-2,1581312275585516;1,4751282427416803
2022-12-19;2334036,215;1,660614790722913;-1,358465228745119;-1,296507265418863;-1,2783748832692428;-1,253354514935551;1,485958444527983
2022-12-20;1820111,931;1,6701950070876055;-0,748171214294021;-0,7202951976727968;-0,8565317391828513;-0,8128711153690903;1,4967886463142859
2022-12-21;1623991,103;1,679775223452298;-0,5817273921709943;-0,6264932331559953;-0,6757418202886833;-0,8128711153690903;1,4967886463142859
2022-12-22;1511507,39;1,6893554398169905;-0,6150161565955996;-0,693494636382282;-0,7360051265867393;-0,8723958990942877;1,5076188481005888
2022-12-23;1453000,027;1,698935656181683;-0,648304921020205;-0,7604960396085688;-0,8063123172678046;-0,9438256395645246;1,5076188481005888
2022-12-24;1408270,656;1,7085158725463756;-0,6372086662120032;-0,7202951976727968;-0,6456101671396554;-0,6819165911736561;1,5184490498868917
2022-12-25;1450207,267;1,7180960889110681;-0,6372086662120032;-0,7068949170275395;-0,7058734734377113;-0,7176314614087744;1,5184490498868917
2022-12-26;1353290,225;1,7276763052757607;-0,38199480562336224;-0,3316870589603336;-0,5552152076925715;-0,5628670237232613;1,5184490498868917
2022-12-27;1617420,133;1,7372565216404534;-1,0699626037318728;-0,9883008105779438;-1,1779360394391496;-1,0985900772500377;1,5184490498868917
2022-12-28;1480809,807;1,746836738005146;-0,7703637239104246;-0,65329379444651;-0,8766195079488699;-0,8247760721141297;1,5292792516731943
2022-12-29;1279132,203;1,7564169543698385;-0,37089855081516043;-0,237885094443532;-0,47486413262849686;-0,36048275905759003;1,5292792516731943
2022-12-30;1299249,958;1,765997170734531;-0,6372086662120032;-0,49249042670342175;-0,6255223983736368;-0,47953232650798483;1,5292792516731943
2022-12-31;943324,324;1,7755773870992235;0,22829920882773586;0,4321289378193356;0,09763727720303463;0,2585749916844631;1,5292792516731943
2023-01-01;903826,018;-1,7116213696488631;0,20610669921133218;0,40532837652882076;-0,053020988542105255;0,187145251214226;1,5292792516731943
2023-01-02;958515,133;-1,7020411532841706;0,017470367471901956;0,1373227636236737;-0,12332817922317045;-0,0033340567064056147;1,5184490498868917
2023-01-03;1351207,705;-1,6924609369194779;-0,7259787046776175;-0,7604960396085688;-0,786224548501786;-0,8128711153690903;1,5184490498868917
2023-01-04;1346637,641;-1,6828807205547853;-0,6039199017873979;-0,425489023477135;-0,5953907452246088;-0,4676273697629454;1,5184490498868917
